Name,ExecutionTimeInSeconds,TestDistribution
TestCase3458,6,%Large_0_%Small_100
TestCase1985,8,%Large_0_%Small_100
TestCase2820,6,%Large_0_%Small_100
TestCase2774,1,%Large_0_%Small_100
TestCase2924,10,%Large_0_%Small_100
TestCase2041,4,%Large_0_%Small_100
TestCase533,7,%Large_0_%Small_100
TestCase4913,1,%Large_0_%Small_100
TestCase3119,4,%Large_0_%Small_100
TestCase3133,3,%Large_0_%Small_100
TestCase1106,5,%Large_0_%Small_100
TestCase4988,10,%Large_0_%Small_100
TestCase494,6,%Large_0_%Small_100
TestCase6,5,%Large_0_%Small_100
TestCase3881,8,%Large_0_%Small_100
TestCase1909,5,%Large_0_%Small_100
TestCase2196,3,%Large_0_%Small_100
TestCase159,7,%Large_0_%Small_100
TestCase4446,10,%Large_0_%Small_100
TestCase3663,9,%Large_0_%Small_100
TestCase2638,10,%Large_0_%Small_100
TestCase3212,9,%Large_0_%Small_100
TestCase1831,6,%Large_0_%Small_100
TestCase601,3,%Large_0_%Small_100
TestCase3580,10,%Large_0_%Small_100
TestCase1649,1,%Large_0_%Small_100
TestCase1726,6,%Large_0_%Small_100
TestCase3871,4,%Large_0_%Small_100
TestCase4655,1,%Large_0_%Small_100
TestCase4172,5,%Large_0_%Small_100
TestCase1828,4,%Large_0_%Small_100
TestCase2122,4,%Large_0_%Small_100
TestCase929,10,%Large_0_%Small_100
TestCase2025,4,%Large_0_%Small_100
TestCase2900,2,%Large_0_%Small_100
TestCase4782,8,%Large_0_%Small_100
TestCase4136,3,%Large_0_%Small_100
TestCase2337,10,%Large_0_%Small_100
TestCase376,9,%Large_0_%Small_100
TestCase2930,4,%Large_0_%Small_100
TestCase3640,10,%Large_0_%Small_100
TestCase2381,8,%Large_0_%Small_100
TestCase3304,1,%Large_0_%Small_100
TestCase387,3,%Large_0_%Small_100
TestCase2340,2,%Large_0_%Small_100
TestCase1019,10,%Large_0_%Small_100
TestCase2341,8,%Large_0_%Small_100
TestCase4896,5,%Large_0_%Small_100
TestCase2949,8,%Large_0_%Small_100
TestCase981,1,%Large_0_%Small_100
TestCase2976,7,%Large_0_%Small_100
TestCase2708,1,%Large_0_%Small_100
TestCase4077,8,%Large_0_%Small_100
TestCase4804,2,%Large_0_%Small_100
TestCase2349,7,%Large_0_%Small_100
TestCase2752,1,%Large_0_%Small_100
TestCase2232,10,%Large_0_%Small_100
TestCase3386,5,%Large_0_%Small_100
TestCase3974,10,%Large_0_%Small_100
TestCase3790,8,%Large_0_%Small_100
TestCase28,8,%Large_0_%Small_100
TestCase812,3,%Large_0_%Small_100
TestCase1005,3,%Large_0_%Small_100
TestCase2563,3,%Large_0_%Small_100
TestCase2148,4,%Large_0_%Small_100
TestCase2797,2,%Large_0_%Small_100
TestCase4274,4,%Large_0_%Small_100
TestCase3579,4,%Large_0_%Small_100
TestCase3783,6,%Large_0_%Small_100
TestCase574,4,%Large_0_%Small_100
TestCase4755,6,%Large_0_%Small_100
TestCase4607,8,%Large_0_%Small_100
TestCase699,6,%Large_0_%Small_100
TestCase4318,7,%Large_0_%Small_100
TestCase1668,7,%Large_0_%Small_100
TestCase327,10,%Large_0_%Small_100
TestCase3415,10,%Large_0_%Small_100
TestCase4232,10,%Large_0_%Small_100
TestCase1298,8,%Large_0_%Small_100
TestCase3418,2,%Large_0_%Small_100
TestCase1701,4,%Large_0_%Small_100
TestCase320,3,%Large_0_%Small_100
TestCase2000,10,%Large_0_%Small_100
TestCase224,1,%Large_0_%Small_100
TestCase4478,5,%Large_0_%Small_100
TestCase2288,5,%Large_0_%Small_100
TestCase468,9,%Large_0_%Small_100
TestCase1592,2,%Large_0_%Small_100
TestCase2683,1,%Large_0_%Small_100
TestCase3629,7,%Large_0_%Small_100
TestCase4117,7,%Large_0_%Small_100
TestCase3456,3,%Large_0_%Small_100
TestCase1228,7,%Large_0_%Small_100
TestCase689,4,%Large_0_%Small_100
TestCase3500,2,%Large_0_%Small_100
TestCase859,2,%Large_0_%Small_100
TestCase3686,6,%Large_0_%Small_100
TestCase101,5,%Large_0_%Small_100
TestCase3555,8,%Large_0_%Small_100
TestCase2079,4,%Large_0_%Small_100
TestCase3653,9,%Large_0_%Small_100
TestCase4609,2,%Large_0_%Small_100
TestCase4086,6,%Large_0_%Small_100
TestCase538,7,%Large_0_%Small_100
TestCase2612,1,%Large_0_%Small_100
TestCase2773,8,%Large_0_%Small_100
TestCase3851,9,%Large_0_%Small_100
TestCase2292,8,%Large_0_%Small_100
TestCase2626,6,%Large_0_%Small_100
TestCase2458,1,%Large_0_%Small_100
TestCase1399,7,%Large_0_%Small_100
TestCase4367,5,%Large_0_%Small_100
TestCase111,10,%Large_0_%Small_100
TestCase4618,9,%Large_0_%Small_100
TestCase2967,2,%Large_0_%Small_100
TestCase1950,4,%Large_0_%Small_100
TestCase4678,3,%Large_0_%Small_100
TestCase1618,3,%Large_0_%Small_100
TestCase2747,3,%Large_0_%Small_100
TestCase630,5,%Large_0_%Small_100
TestCase3914,4,%Large_0_%Small_100
TestCase4730,4,%Large_0_%Small_100
TestCase4438,9,%Large_0_%Small_100
TestCase2268,6,%Large_0_%Small_100
TestCase3875,5,%Large_0_%Small_100
TestCase397,1,%Large_0_%Small_100
TestCase518,3,%Large_0_%Small_100
TestCase2546,1,%Large_0_%Small_100
TestCase4193,6,%Large_0_%Small_100
TestCase135,2,%Large_0_%Small_100
TestCase947,4,%Large_0_%Small_100
TestCase1885,4,%Large_0_%Small_100
TestCase774,1,%Large_0_%Small_100
TestCase2185,3,%Large_0_%Small_100
TestCase2407,5,%Large_0_%Small_100
TestCase4738,6,%Large_0_%Small_100
TestCase4156,10,%Large_0_%Small_100
TestCase2360,6,%Large_0_%Small_100
TestCase2419,2,%Large_0_%Small_100
TestCase2947,7,%Large_0_%Small_100
TestCase3805,3,%Large_0_%Small_100
TestCase2085,10,%Large_0_%Small_100
TestCase2363,4,%Large_0_%Small_100
TestCase1596,1,%Large_0_%Small_100
TestCase1401,5,%Large_0_%Small_100
TestCase2556,3,%Large_0_%Small_100
TestCase3855,6,%Large_0_%Small_100
TestCase3077,4,%Large_0_%Small_100
TestCase204,4,%Large_0_%Small_100
TestCase2087,7,%Large_0_%Small_100
TestCase2018,6,%Large_0_%Small_100
TestCase428,2,%Large_0_%Small_100
TestCase2064,8,%Large_0_%Small_100
TestCase4626,10,%Large_0_%Small_100
TestCase683,4,%Large_0_%Small_100
TestCase1097,5,%Large_0_%Small_100
TestCase1121,1,%Large_0_%Small_100
TestCase2749,1,%Large_0_%Small_100
TestCase3147,5,%Large_0_%Small_100
TestCase2811,6,%Large_0_%Small_100
TestCase3921,1,%Large_0_%Small_100
TestCase67,7,%Large_0_%Small_100
TestCase737,8,%Large_0_%Small_100
TestCase199,4,%Large_0_%Small_100
TestCase1133,9,%Large_0_%Small_100
TestCase1607,9,%Large_0_%Small_100
TestCase3809,10,%Large_0_%Small_100
TestCase4500,2,%Large_0_%Small_100
TestCase3834,4,%Large_0_%Small_100
TestCase2812,9,%Large_0_%Small_100
TestCase645,8,%Large_0_%Small_100
TestCase1215,5,%Large_0_%Small_100
TestCase4820,8,%Large_0_%Small_100
TestCase1779,4,%Large_0_%Small_100
TestCase3491,3,%Large_0_%Small_100
TestCase767,6,%Large_0_%Small_100
TestCase686,1,%Large_0_%Small_100
TestCase3154,2,%Large_0_%Small_100
TestCase1929,4,%Large_0_%Small_100
TestCase740,5,%Large_0_%Small_100
TestCase1475,5,%Large_0_%Small_100
TestCase2440,4,%Large_0_%Small_100
TestCase3374,7,%Large_0_%Small_100
TestCase4442,6,%Large_0_%Small_100
TestCase2339,9,%Large_0_%Small_100
TestCase913,10,%Large_0_%Small_100
TestCase3960,2,%Large_0_%Small_100
TestCase854,6,%Large_0_%Small_100
TestCase972,1,%Large_0_%Small_100
TestCase925,10,%Large_0_%Small_100
TestCase1803,9,%Large_0_%Small_100
TestCase4133,2,%Large_0_%Small_100
TestCase163,9,%Large_0_%Small_100
TestCase2346,5,%Large_0_%Small_100
TestCase2028,10,%Large_0_%Small_100
TestCase119,1,%Large_0_%Small_100
TestCase2810,8,%Large_0_%Small_100
TestCase2283,5,%Large_0_%Small_100
TestCase2069,1,%Large_0_%Small_100
TestCase1393,4,%Large_0_%Small_100
TestCase1087,3,%Large_0_%Small_100
TestCase4052,8,%Large_0_%Small_100
TestCase26,2,%Large_0_%Small_100
TestCase4679,10,%Large_0_%Small_100
TestCase2982,6,%Large_0_%Small_100
TestCase1546,6,%Large_0_%Small_100
TestCase4353,4,%Large_0_%Small_100
TestCase1002,8,%Large_0_%Small_100
TestCase3991,3,%Large_0_%Small_100
TestCase4709,8,%Large_0_%Small_100
TestCase2540,2,%Large_0_%Small_100
TestCase2521,10,%Large_0_%Small_100
TestCase268,8,%Large_0_%Small_100
TestCase1847,10,%Large_0_%Small_100
TestCase1140,4,%Large_0_%Small_100
TestCase3895,8,%Large_0_%Small_100
TestCase2286,2,%Large_0_%Small_100
TestCase1998,10,%Large_0_%Small_100
TestCase3907,1,%Large_0_%Small_100
TestCase1669,8,%Large_0_%Small_100
TestCase3990,2,%Large_0_%Small_100
TestCase1947,5,%Large_0_%Small_100
TestCase1477,4,%Large_0_%Small_100
TestCase2842,4,%Large_0_%Small_100
TestCase147,9,%Large_0_%Small_100
TestCase399,10,%Large_0_%Small_100
TestCase2348,2,%Large_0_%Small_100
TestCase2569,6,%Large_0_%Small_100
TestCase2679,7,%Large_0_%Small_100
TestCase4880,6,%Large_0_%Small_100
TestCase4731,3,%Large_0_%Small_100
TestCase3666,6,%Large_0_%Small_100
TestCase776,6,%Large_0_%Small_100
TestCase1891,7,%Large_0_%Small_100
TestCase2601,1,%Large_0_%Small_100
TestCase4986,5,%Large_0_%Small_100
TestCase1970,10,%Large_0_%Small_100
TestCase3535,4,%Large_0_%Small_100
TestCase4298,10,%Large_0_%Small_100
TestCase3728,9,%Large_0_%Small_100
TestCase220,9,%Large_0_%Small_100
TestCase1637,8,%Large_0_%Small_100
TestCase4244,10,%Large_0_%Small_100
TestCase4060,9,%Large_0_%Small_100
TestCase3230,3,%Large_0_%Small_100
TestCase2513,6,%Large_0_%Small_100
TestCase752,4,%Large_0_%Small_100
TestCase4375,2,%Large_0_%Small_100
TestCase3309,3,%Large_0_%Small_100
TestCase3597,10,%Large_0_%Small_100
TestCase3324,2,%Large_0_%Small_100
TestCase4213,9,%Large_0_%Small_100
TestCase2608,1,%Large_0_%Small_100
TestCase31,4,%Large_0_%Small_100
TestCase629,7,%Large_0_%Small_100
TestCase762,3,%Large_0_%Small_100
TestCase4695,3,%Large_0_%Small_100
TestCase4616,9,%Large_0_%Small_100
TestCase4459,10,%Large_0_%Small_100
TestCase3181,1,%Large_0_%Small_100
TestCase1601,6,%Large_0_%Small_100
TestCase2316,8,%Large_0_%Small_100
TestCase2057,9,%Large_0_%Small_100
TestCase1706,2,%Large_0_%Small_100
TestCase4308,5,%Large_0_%Small_100
TestCase86,9,%Large_0_%Small_100
TestCase2303,6,%Large_0_%Small_100
TestCase3137,1,%Large_0_%Small_100
TestCase3984,5,%Large_0_%Small_100
TestCase640,10,%Large_0_%Small_100
TestCase1206,7,%Large_0_%Small_100
TestCase4123,1,%Large_0_%Small_100
TestCase3252,3,%Large_0_%Small_100
TestCase807,5,%Large_0_%Small_100
TestCase149,9,%Large_0_%Small_100
TestCase3176,9,%Large_0_%Small_100
TestCase1804,3,%Large_0_%Small_100
TestCase4441,9,%Large_0_%Small_100
TestCase1114,1,%Large_0_%Small_100
TestCase1387,9,%Large_0_%Small_100
TestCase3993,2,%Large_0_%Small_100
TestCase4665,2,%Large_0_%Small_100
TestCase1827,9,%Large_0_%Small_100
TestCase1650,4,%Large_0_%Small_100
TestCase2690,9,%Large_0_%Small_100
TestCase2504,4,%Large_0_%Small_100
TestCase3328,6,%Large_0_%Small_100
TestCase1431,1,%Large_0_%Small_100
TestCase1646,6,%Large_0_%Small_100
TestCase4422,5,%Large_0_%Small_100
TestCase1163,5,%Large_0_%Small_100
TestCase1564,2,%Large_0_%Small_100
TestCase1247,3,%Large_0_%Small_100
TestCase4177,8,%Large_0_%Small_100
TestCase2499,9,%Large_0_%Small_100
TestCase2412,2,%Large_0_%Small_100
TestCase4087,5,%Large_0_%Small_100
TestCase2523,9,%Large_0_%Small_100
TestCase4829,5,%Large_0_%Small_100
TestCase2896,6,%Large_0_%Small_100
TestCase4711,10,%Large_0_%Small_100
TestCase2005,3,%Large_0_%Small_100
TestCase2487,9,%Large_0_%Small_100
TestCase2051,8,%Large_0_%Small_100
TestCase2096,1,%Large_0_%Small_100
TestCase3724,2,%Large_0_%Small_100
TestCase2543,10,%Large_0_%Small_100
TestCase1291,9,%Large_0_%Small_100
TestCase2326,4,%Large_0_%Small_100
TestCase4296,4,%Large_0_%Small_100
TestCase415,10,%Large_0_%Small_100
TestCase1183,4,%Large_0_%Small_100
TestCase2421,7,%Large_0_%Small_100
TestCase3800,2,%Large_0_%Small_100
TestCase3061,6,%Large_0_%Small_100
TestCase3363,9,%Large_0_%Small_100
TestCase2923,2,%Large_0_%Small_100
TestCase2121,6,%Large_0_%Small_100
TestCase356,6,%Large_0_%Small_100
TestCase3772,9,%Large_0_%Small_100
TestCase4154,9,%Large_0_%Small_100
TestCase4737,9,%Large_0_%Small_100
TestCase1318,5,%Large_0_%Small_100
TestCase1288,1,%Large_0_%Small_100
TestCase2755,2,%Large_0_%Small_100
TestCase2658,2,%Large_0_%Small_100
TestCase2088,1,%Large_0_%Small_100
TestCase3337,1,%Large_0_%Small_100
TestCase456,5,%Large_0_%Small_100
TestCase1269,6,%Large_0_%Small_100
TestCase1123,10,%Large_0_%Small_100
TestCase4799,4,%Large_0_%Small_100
TestCase1806,3,%Large_0_%Small_100
TestCase2331,2,%Large_0_%Small_100
TestCase4277,9,%Large_0_%Small_100
TestCase3438,10,%Large_0_%Small_100
TestCase1170,2,%Large_0_%Small_100
TestCase754,3,%Large_0_%Small_100
TestCase4370,4,%Large_0_%Small_100
TestCase1220,9,%Large_0_%Small_100
TestCase3723,1,%Large_0_%Small_100
TestCase1894,2,%Large_0_%Small_100
TestCase1938,1,%Large_0_%Small_100
TestCase4502,2,%Large_0_%Small_100
TestCase1415,1,%Large_0_%Small_100
TestCase493,9,%Large_0_%Small_100
TestCase1468,2,%Large_0_%Small_100
TestCase666,1,%Large_0_%Small_100
TestCase3123,5,%Large_0_%Small_100
TestCase3053,1,%Large_0_%Small_100
TestCase1305,1,%Large_0_%Small_100
TestCase1588,3,%Large_0_%Small_100
TestCase2034,3,%Large_0_%Small_100
TestCase2437,5,%Large_0_%Small_100
TestCase2479,4,%Large_0_%Small_100
TestCase2541,7,%Large_0_%Small_100
TestCase4556,2,%Large_0_%Small_100
TestCase4516,8,%Large_0_%Small_100
TestCase3165,5,%Large_0_%Small_100
TestCase1068,6,%Large_0_%Small_100
TestCase1698,4,%Large_0_%Small_100
TestCase3333,1,%Large_0_%Small_100
TestCase2401,8,%Large_0_%Small_100
TestCase2983,10,%Large_0_%Small_100
TestCase305,8,%Large_0_%Small_100
TestCase618,7,%Large_0_%Small_100
TestCase4741,2,%Large_0_%Small_100
TestCase35,1,%Large_0_%Small_100
TestCase2311,8,%Large_0_%Small_100
TestCase733,8,%Large_0_%Small_100
TestCase2821,6,%Large_0_%Small_100
TestCase4614,8,%Large_0_%Small_100
TestCase3306,9,%Large_0_%Small_100
TestCase215,10,%Large_0_%Small_100
TestCase3188,7,%Large_0_%Small_100
TestCase458,1,%Large_0_%Small_100
TestCase3874,2,%Large_0_%Small_100
TestCase3103,6,%Large_0_%Small_100
TestCase2301,10,%Large_0_%Small_100
TestCase4747,8,%Large_0_%Small_100
TestCase1542,8,%Large_0_%Small_100
TestCase1628,4,%Large_0_%Small_100
TestCase3069,8,%Large_0_%Small_100
TestCase1675,7,%Large_0_%Small_100
TestCase3444,8,%Large_0_%Small_100
TestCase1766,6,%Large_0_%Small_100
TestCase2216,8,%Large_0_%Small_100
TestCase3095,7,%Large_0_%Small_100
TestCase3256,8,%Large_0_%Small_100
TestCase3620,4,%Large_0_%Small_100
TestCase323,10,%Large_0_%Small_100
TestCase210,2,%Large_0_%Small_100
TestCase4914,1,%Large_0_%Small_100
TestCase2841,9,%Large_0_%Small_100
TestCase3837,9,%Large_0_%Small_100
TestCase4288,9,%Large_0_%Small_100
TestCase72,5,%Large_0_%Small_100
TestCase2318,10,%Large_0_%Small_100
TestCase4525,5,%Large_0_%Small_100
TestCase702,6,%Large_0_%Small_100
TestCase1312,10,%Large_0_%Small_100
TestCase1266,1,%Large_0_%Small_100
TestCase554,5,%Large_0_%Small_100
TestCase2520,1,%Large_0_%Small_100
TestCase3430,7,%Large_0_%Small_100
TestCase4798,10,%Large_0_%Small_100
TestCase3810,1,%Large_0_%Small_100
TestCase2161,8,%Large_0_%Small_100
TestCase4971,8,%Large_0_%Small_100
TestCase2875,5,%Large_0_%Small_100
TestCase2200,6,%Large_0_%Small_100
TestCase107,4,%Large_0_%Small_100
TestCase145,5,%Large_0_%Small_100
TestCase4339,10,%Large_0_%Small_100
TestCase2570,3,%Large_0_%Small_100
TestCase139,4,%Large_0_%Small_100
TestCase3955,3,%Large_0_%Small_100
TestCase4032,6,%Large_0_%Small_100
TestCase487,6,%Large_0_%Small_100
TestCase4199,5,%Large_0_%Small_100
TestCase2084,8,%Large_0_%Small_100
TestCase2724,10,%Large_0_%Small_100
TestCase1610,2,%Large_0_%Small_100
TestCase2590,7,%Large_0_%Small_100
TestCase3703,2,%Large_0_%Small_100
TestCase1268,6,%Large_0_%Small_100
TestCase909,6,%Large_0_%Small_100
TestCase976,4,%Large_0_%Small_100
TestCase1961,9,%Large_0_%Small_100
TestCase2353,5,%Large_0_%Small_100
TestCase4815,8,%Large_0_%Small_100
TestCase2849,6,%Large_0_%Small_100
TestCase2482,2,%Large_0_%Small_100
TestCase3499,6,%Large_0_%Small_100
TestCase2537,8,%Large_0_%Small_100
TestCase1108,10,%Large_0_%Small_100
TestCase2838,3,%Large_0_%Small_100
TestCase212,10,%Large_0_%Small_100
TestCase3451,4,%Large_0_%Small_100
TestCase47,5,%Large_0_%Small_100
TestCase2176,10,%Large_0_%Small_100
TestCase937,9,%Large_0_%Small_100
TestCase2907,8,%Large_0_%Small_100
TestCase406,6,%Large_0_%Small_100
TestCase1253,7,%Large_0_%Small_100
TestCase1783,10,%Large_0_%Small_100
TestCase3731,3,%Large_0_%Small_100
TestCase4063,3,%Large_0_%Small_100
TestCase2284,9,%Large_0_%Small_100
TestCase1990,8,%Large_0_%Small_100
TestCase3400,5,%Large_0_%Small_100
TestCase4128,10,%Large_0_%Small_100
TestCase2131,7,%Large_0_%Small_100
TestCase4993,1,%Large_0_%Small_100
TestCase877,4,%Large_0_%Small_100
TestCase4501,6,%Large_0_%Small_100
TestCase2193,8,%Large_0_%Small_100
TestCase2623,9,%Large_0_%Small_100
TestCase4587,5,%Large_0_%Small_100
TestCase287,5,%Large_0_%Small_100
TestCase4324,10,%Large_0_%Small_100
TestCase4959,2,%Large_0_%Small_100
TestCase50,1,%Large_0_%Small_100
TestCase2765,3,%Large_0_%Small_100
TestCase3242,9,%Large_0_%Small_100
TestCase4264,8,%Large_0_%Small_100
TestCase2246,10,%Large_0_%Small_100
TestCase1967,7,%Large_0_%Small_100
TestCase3127,10,%Large_0_%Small_100
TestCase2966,9,%Large_0_%Small_100
TestCase4270,10,%Large_0_%Small_100
TestCase3903,2,%Large_0_%Small_100
TestCase2603,1,%Large_0_%Small_100
TestCase1849,9,%Large_0_%Small_100
TestCase1712,10,%Large_0_%Small_100
TestCase2796,7,%Large_0_%Small_100
TestCase2834,9,%Large_0_%Small_100
TestCase4357,9,%Large_0_%Small_100
TestCase652,3,%Large_0_%Small_100
TestCase75,1,%Large_0_%Small_100
TestCase4016,2,%Large_0_%Small_100
TestCase1368,6,%Large_0_%Small_100
TestCase4506,2,%Large_0_%Small_100
TestCase1629,1,%Large_0_%Small_100
TestCase3789,10,%Large_0_%Small_100
TestCase3668,1,%Large_0_%Small_100
TestCase769,6,%Large_0_%Small_100
TestCase974,4,%Large_0_%Small_100
TestCase4801,6,%Large_0_%Small_100
TestCase4851,2,%Large_0_%Small_100
TestCase1282,4,%Large_0_%Small_100
TestCase2263,3,%Large_0_%Small_100
TestCase185,8,%Large_0_%Small_100
TestCase4919,10,%Large_0_%Small_100
TestCase955,2,%Large_0_%Small_100
TestCase3375,9,%Large_0_%Small_100
TestCase1351,7,%Large_0_%Small_100
TestCase1684,2,%Large_0_%Small_100
TestCase2572,2,%Large_0_%Small_100
TestCase1430,1,%Large_0_%Small_100
TestCase4714,5,%Large_0_%Small_100
TestCase2786,4,%Large_0_%Small_100
TestCase4413,9,%Large_0_%Small_100
TestCase2549,6,%Large_0_%Small_100
TestCase1071,9,%Large_0_%Small_100
TestCase2868,1,%Large_0_%Small_100
TestCase261,5,%Large_0_%Small_100
TestCase272,7,%Large_0_%Small_100
TestCase3350,5,%Large_0_%Small_100
TestCase4704,9,%Large_0_%Small_100
TestCase556,4,%Large_0_%Small_100
TestCase2840,10,%Large_0_%Small_100
TestCase4171,4,%Large_0_%Small_100
TestCase423,5,%Large_0_%Small_100
TestCase126,9,%Large_0_%Small_100
TestCase1525,8,%Large_0_%Small_100
TestCase3437,2,%Large_0_%Small_100
TestCase2075,2,%Large_0_%Small_100
TestCase3659,4,%Large_0_%Small_100
TestCase1407,3,%Large_0_%Small_100
TestCase3394,3,%Large_0_%Small_100
TestCase4911,8,%Large_0_%Small_100
TestCase167,3,%Large_0_%Small_100
TestCase2077,3,%Large_0_%Small_100
TestCase3496,9,%Large_0_%Small_100
TestCase1981,6,%Large_0_%Small_100
TestCase4146,2,%Large_0_%Small_100
TestCase3225,1,%Large_0_%Small_100
TestCase55,10,%Large_0_%Small_100
TestCase2139,2,%Large_0_%Small_100
TestCase782,1,%Large_0_%Small_100
TestCase2501,6,%Large_0_%Small_100
TestCase2575,5,%Large_0_%Small_100
TestCase3073,1,%Large_0_%Small_100
TestCase2784,10,%Large_0_%Small_100
TestCase3124,8,%Large_0_%Small_100
TestCase3220,10,%Large_0_%Small_100
TestCase295,3,%Large_0_%Small_100
TestCase3822,10,%Large_0_%Small_100
TestCase1780,7,%Large_0_%Small_100
TestCase357,1,%Large_0_%Small_100
TestCase1287,7,%Large_0_%Small_100
TestCase1597,10,%Large_0_%Small_100
TestCase4314,1,%Large_0_%Small_100
TestCase4689,4,%Large_0_%Small_100
TestCase4791,2,%Large_0_%Small_100
TestCase897,3,%Large_0_%Small_100
TestCase4276,3,%Large_0_%Small_100
TestCase4708,9,%Large_0_%Small_100
TestCase3637,5,%Large_0_%Small_100
TestCase2016,1,%Large_0_%Small_100
TestCase3013,3,%Large_0_%Small_100
TestCase4717,1,%Large_0_%Small_100
TestCase1590,6,%Large_0_%Small_100
TestCase4395,3,%Large_0_%Small_100
TestCase459,10,%Large_0_%Small_100
TestCase2006,10,%Large_0_%Small_100
TestCase2565,5,%Large_0_%Small_100
TestCase1214,2,%Large_0_%Small_100
TestCase948,7,%Large_0_%Small_100
TestCase584,2,%Large_0_%Small_100
TestCase2844,9,%Large_0_%Small_100
TestCase1792,10,%Large_0_%Small_100
TestCase841,8,%Large_0_%Small_100
TestCase3468,10,%Large_0_%Small_100
TestCase3788,3,%Large_0_%Small_100
TestCase1744,8,%Large_0_%Small_100
TestCase2876,1,%Large_0_%Small_100
TestCase4006,3,%Large_0_%Small_100
TestCase350,6,%Large_0_%Small_100
TestCase4932,9,%Large_0_%Small_100
TestCase3448,2,%Large_0_%Small_100
TestCase1491,7,%Large_0_%Small_100
TestCase4197,5,%Large_0_%Small_100
TestCase1781,6,%Large_0_%Small_100
TestCase341,7,%Large_0_%Small_100
TestCase881,3,%Large_0_%Small_100
TestCase4141,9,%Large_0_%Small_100
TestCase1872,7,%Large_0_%Small_100
TestCase911,7,%Large_0_%Small_100
